date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi,usdkrw,putcall,ew_close,ew_mom
2026-06-09,2167,372,138,54,223,2606,6.5095,9.4078,22.3579,49.8985,7.2243,58.2176,0.8083,771,131,40,17,72,933,7.9618,11.5711,27.0588,40.71,6.2329,48.0168,0.7213,1396,241,98,37,151,1673,5.7192,8.2271,19.7509,9.1885,0.9913,10.2007,1.8703,58.1592,0.3737,0,7,1,8096.93,967.81,91.23,1525.8101,1.088,19545.0,7.1083
2026-06-10,818,1695,164,54,321,2606,6.5095,8.3958,21.633,8.7791,39.3862,48.471,0.7035,342,549,51,16,87,933,8.0679,10.1911,26.631,5.7054,33.8232,39.5803,0.623,476,1146,113,38,234,1673,5.6615,7.416,18.8612,3.0737,5.563,8.8907,1.6575,54.5658,0.4595,0,8,0,7730.82,951.63,88.35,1525.05,0.988,18988.0,3.8832
2026-06-11,1771,747,160,65,171,2607,10.4377,10.0075,23.4643,37.4496,21.0024,61.0078,0.8786,576,317,49,20,54,933,12.845,11.5711,28.3422,25.0574,19.396,46.9364,0.7354,1195,430,111,45,117,1674,9.1277,9.1541,20.7592,12.3921,1.6064,14.0714,2.5051,52.8233,0.3932,0,13,0,7763.95,996.93,87.3,1517.38,0.987,19490.0,6.4386
2026-06-12,2036,490,152,68,101,2607,16.7165,12.4016,25.8963,55.9221,11.8445,67.8619,0.9348,754,143,45,19,23,933,21.0191,14.5435,31.5508,43.352,7.7251,51.1343,0.7655,1282,347,107,49,78,1674,14.3764,11.2334,22.7623,12.5702,4.1194,16.7276,2.8871,51.5793,0.2662,0,13,0,8123.62,1029.05,89.91,,3.925,20082.0,9.4483
2026-06-15,1643,851,184,57,90,2607,24.3829,13.9003,27.907,44.5278,6.8149,51.5313,0.6773,675,205,62,17,24,933,34.6072,18.259,35.8289,37.3196,2.5767,40.0401,0.5699,968,646,122,40,66,1674,18.8222,11.5229,23.519,7.2082,4.2382,11.4912,1.9735,51.6378,0.3237,0,13,0,8545.98,1034.03,87.85,1513.3101,6.636,20718.0,12.6562
2026-06-16,1252,1231,195,58,101,2607,28.534,14.6067,28.0107,37.3034,11.7062,49.4337,0.6377,516,360,66,22,23,933,42.9936,20.913,36.6845,33.5726,6.6621,40.6027,0.5657,736,871,129,36,78,1674,20.6697,11.169,23.209,3.7308,5.0442,8.8309,1.5389,48.7547,0.5857,0,11,1,8726.6,1018.68,84.29,1510.96,7.374,21130.0,14.6154
2026-06-17,1296,1162,220,61,82,2608,31.3645,14.4515,27.9619,33.2191,12.3469,45.788,0.5816,351,523,68,21,20,933,42.9936,19.1083,35.1872,26.6401,9.3807,36.0854,0.4949,945,639,152,40,62,1675,25.0433,11.9144,23.9645,6.579,2.9662,9.7026,1.6673,50.9257,0.556,0,11,0,8864.24,1031.96,79.65,1525.42,9.519,20912.0,13.1684
2026-06-18,339,2191,148,58,186,2609,21.8984,11.3066,25.2856,41.8194,18.2113,60.1311,0.7499,110,789,43,17,47,933,28.0255,13.5881,31.6578,38.3956,12.7231,51.1338,0.686,229,1402,105,41,139,1676,18.5698,10.0636,21.7623,3.4238,5.4883,8.9973,1.5946,63.4741,0.3811,0,15,0,9063.84,1000.93,80.25,1537.5601,8.547,20136.0,8.7482
2026-06-19,308,2228,142,59,412,2609,13.6398,8.6484,21.9262,36.643,39.2083,76.1089,0.953,115,785,42,18,112,933,16.3482,10.828,27.3797,35.0671,31.2441,66.5101,0.8938,193,1443,100,41,300,1676,12.1684,7.461,18.9125,1.5759,7.9642,9.5987,1.7618,64.0713,0.2987,0,9,1,9052.42,966.59,83.57,,5.728,19953.0,7.5528
2026-06-22,503,1999,176,62,601,2609,11.3976,7.9745,20.3196,29.2551,21.7961,51.2581,0.6375,149,737,56,18,169,933,11.3588,8.9172,24.9198,23.0638,18.8215,42.0581,0.5612,354,1262,120,44,432,1676,11.4187,7.461,17.7791,6.1913,2.9746,9.1999,1.6856,64.4529,0.3495,0,11,2,9114.55,968.4,87.36,1539.05,5.444,19416.0,4.488
